lat,lon,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
51.5,-172.5,0.7579,1.4237,2.509,3.6713,4.1134,4.0601,3.6475,3.2316,2.7854,1.8286,0.9274,0.6065
52.5,-172.5,0.6684,1.2768,2.3386,3.4601,3.8652,3.955,3.6761,3.1817,2.6004,1.639,0.8393,0.5376
53.5,-172.5,0.6262,1.247,2.3702,3.5232,3.991,3.9209,3.5131,3.1481,2.5666,1.6265,0.7886,0.4855
54.5,-172.5,0.5628,1.1539,2.2512,3.4174,4.0721,3.9876,3.6202,3.1202,2.4763,1.5602,0.7174,0.4258
55.5,-172.5,0.4946,1.08,2.1619,3.3002,4.032,4.11,3.6758,3.0782,2.4154,1.4671,0.635,0.3559
56.5,-172.5,0.4322,0.9893,2.0926,3.24,4.0003,4.2046,3.7558,3.0862,2.4074,1.3882,0.5582,0.2998
57.5,-172.5,0.3847,0.9314,2.1518,3.2614,4.0421,4.3675,3.8088,3.0684,2.3294,1.295,0.4944,0.2489
58.5,-172.5,0.3458,0.9353,2.3014,3.4325,4.1345,4.4362,3.8695,3.0422,2.233,1.1858,0.4313,0.203
59.5,-172.5,0.3305,1.0066,2.4487,3.6967,4.373,4.517,3.9312,3.048,2.1871,1.1126,0.3833,0.1642
40.5,-171.5,1.6392,2.4163,3.2424,4.0884,4.4976,4.5408,4.8845,4.9418,3.7102,2.6628,1.7678,1.4081
41.5,-171.5,1.5449,2.3431,3.1706,4.0476,4.4086,4.4026,4.6735,4.6692,3.5227,2.5582,1.6884,1.3363
42.5,-171.5,1.5046,2.2538,3.1037,4.0001,4.3764,4.3392,4.3752,4.3339,3.3907,2.4732,1.627,1.2715
43.5,-171.5,1.4234,2.1499,3.0211,3.9149,4.3265,4.2881,4.1398,4.0464,3.269,2.4014,1.5367,1.1995
44.5,-171.5,1.3387,2.0604,2.9534,3.8767,4.2499,4.2029,3.9893,3.8201,3.1987,2.3316,1.4587,1.1213
45.5,-171.5,1.2574,1.9922,2.8922,3.8676,4.2108,4.1107,3.9118,3.6278,3.1675,2.2656,1.3716,1.0512
46.5,-171.5,1.1741,1.921,2.8553,3.8858,4.1933,4.0798,3.8947,3.5052,3.131,2.2027,1.2986,0.971
47.5,-171.5,1.0882,1.8223,2.8188,3.8914,4.2113,4.0555,3.8357,3.426,3.029,2.1283,1.2233,0.893
48.5,-171.5,1.0061,1.7318,2.7818,3.8522,4.2163,4.0663,3.7613,3.389,2.952,2.0554,1.1486,0.8249
49.5,-171.5,0.9113,1.6346,2.7149,3.8249,4.1537,4.0464,3.695,3.3434,2.8555,1.9685,1.0675,0.7433
50.5,-171.5,0.8318,1.5463,2.6395,3.7877,4.1424,4.0435,3.6425,3.2448,2.767,1.8766,0.9907,0.6682
51.5,-171.5,0.7534,1.4448,2.5433,3.7296,4.1124,4.0066,3.6077,3.1877,2.7607,1.8067,0.9151,0.5921
52.5,-171.5,0.6722,1.3034,2.3693,3.5136,3.978,4.0296,3.6293,3.149,2.6556,1.7138,0.8623,0.5268
53.5,-171.5,0.6245,1.2365,2.3782,3.5117,4.033,3.9984,3.5734,3.1394,2.6052,1.6495,0.8009,0.479
54.5,-171.5,0.5609,1.1654,2.3062,3.45,4.0788,3.9785,3.5189,3.0998,2.5051,1.5545,0.7102,0.4154
55.5,-171.5,0.4954,1.097,2.2128,3.3497,4.1342,4.1414,3.7058,3.1279,2.4362,1.4724,0.6271,0.3562
56.5,-171.5,0.4394,1.0224,2.2082,3.3276,4.1366,4.2782,3.7999,3.1394,2.4017,1.4006,0.559,0.3012
57.5,-171.5,0.4006,1.0099,2.3126,3.4015,4.1664,4.4158,3.9127,3.1015,2.3146,1.3034,0.4918,0.2489
58.5,-171.5,0.3766,1.0409,2.4838,3.6106,4.3109,4.499,3.9091,3.0703,2.2056,1.2154,0.4454,0.2042
